budget,feasibility_rejections,full_evaluator_calls,hv_ratio,igd_plus,method,n_eval,proposal_count,recall,runtime,scale,seed,structural_rejections,workload
1000,271,1000,1.0,0.0,nsga2,1000,1073,1.0,0.1872,S2,2,73,control
1000,535,1000,0.9378,0.03523,random,1000,1533,0.24,0.0166,S2,3,533,control
1000,247,1000,0.9996,0.00078,nsga2,1000,1133,0.88,0.2004,S2,3,133,control
1000,548,1000,0.9276,0.03572,random,1000,1480,0.16,0.0161,S2,4,480,control
1000,245,1000,0.9992,7e-05,nsga2,1000,1049,0.96,0.1876,S2,4,49,control
1000,551,1000,0.9187,0.0353,random,1000,1492,0.16,0.0152,S2,5,492,control
1000,287,1000,0.9997,0.00143,nsga2,1000,1137,0.96,0.1906,S2,5,137,control
1000,564,1000,0.9614,0.03897,random,1000,1489,0.12,0.0152,S2,6,489,control
1000,261,1000,0.9993,0.00296,nsga2,1000,1101,0.84,0.2148,S2,6,101,control
1000,540,1000,0.9704,0.01696,random,1000,1487,0.4,0.0162,S2,7,487,control
1000,274,1000,0.9986,0.00304,nsga2,1000,1028,0.8,0.2258,S2,7,28,control
1000,534,1000,0.8986,0.03818,random,1000,1468,0.24,0.0187,S2,8,468,control
1000,257,1000,0.9992,7e-05,nsga2,1000,1044,0.96,0.1957,S2,8,44,control
1000,556,1000,0.8101,0.07186,random,1000,1510,0.28,0.0178,S2,9,510,control
1000,275,1000,1.0,0.0,nsga2,1000,1088,1.0,0.1819,S2,9,88,control
1000,568,1000,0.854,0.05776,random,1000,1514,0.12,0.0168,S2,10,514,control
1000,280,1000,0.9992,7e-05,nsga2,1000,1036,0.96,0.1905,S2,10,36,control
1000,553,1000,0.9009,0.03861,random,1000,1524,0.16,0.0182,S2,11,524,control
1000,310,1000,0.9954,0.00107,nsga2,1000,1197,0.68,0.219,S2,11,197,control
1000,506,1000,0.9249,0.03759,random,1000,1513,0.12,0.018,S2,12,513,control
1000,251,1000,0.9993,0.00296,nsga2,1000,1134,0.84,0.2046,S2,12,134,control
1000,553,1000,0.9219,0.04664,random,1000,1521,0.04,0.0175,S2,13,521,control
1000,132,1000,0.8071,0.36677,nsga2,1000,1234,0.12,0.443,S2,13,234,control
1000,556,1000,0.9422,0.03259,random,1000,1502,0.12,0.0144,S2,14,502,control
1000,265,1000,0.9938,0.00387,nsga2,1000,1045,0.8,0.2028,S2,14,45,control
1000,522,1000,0.8915,0.02654,random,1000,1520,0.24,0.0175,S2,15,520,control
1000,282,1000,0.9992,7e-05,nsga2,1000,1067,0.96,0.1946,S2,15,67,control
1000,571,1000,0.869,0.05243,random,1000,1486,0.12,0.0154,S2,16,486,control
1000,286,1000,0.9992,7e-05,nsga2,1000,1055,0.96,0.1866,S2,16,55,control
1000,578,1000,0.9197,0.04023,random,1000,1488,0.12,0.0165,S2,17,488,control
1000,266,1000,0.9998,0.00056,nsga2,1000,1099,0.92,0.1914,S2,17,99,control
1000,555,1000,0.9231,0.03545,random,1000,1503,0.2,0.0165,S2,18,503,control
1000,311,1000,0.9993,0.00296,nsga2,1000,1093,0.84,0.1978,S2,18,93,control
1000,558,1000,0.9428,0.04748,random,1000,1514,0.16,0.0168,S2,19,514,control
1000,249,1000,0.9993,0.00296,nsga2,1000,1089,0.84,0.2017,S2,19,89,control
