budget,feasibility_rejections,full_evaluator_calls,hv_ratio,igd_plus,method,n_eval,proposal_count,recall,runtime,scale,seed,structural_rejections,workload
500,398,500,0.7219,0.21018,random,500,735,0.037,0.0054,S3,9,235,control
500,144,500,0.9326,0.03601,nsga2,500,585,0.2593,0.0846,S3,9,85,control
500,405,500,0.561,0.16389,random,500,771,0.0,0.0056,S3,10,271,control
500,147,500,0.9176,0.02171,nsga2,500,536,0.5185,0.0862,S3,10,36,control
500,402,500,0.6727,0.2125,random,500,747,0.0,0.0059,S3,11,247,control
500,170,500,0.8778,0.05226,nsga2,500,546,0.1481,0.082,S3,11,46,control
500,406,500,0.622,0.30986,random,500,753,0.0,0.0057,S3,12,253,control
500,188,500,0.9984,0.00236,nsga2,500,579,0.7778,0.0913,S3,12,79,control
500,396,500,0.6556,0.13264,random,500,754,0.0,0.0059,S3,13,254,control
500,160,500,0.95,0.03944,nsga2,500,572,0.2963,0.0745,S3,13,72,control
500,404,500,0.5205,0.11794,random,500,750,0.0741,0.0057,S3,14,250,control
500,193,500,0.1816,0.33575,nsga2,500,540,0.1852,0.0837,S3,14,40,control
500,406,500,0.5562,0.13574,random,500,758,0.037,0.0056,S3,15,258,control
500,152,500,0.1977,0.29937,nsga2,500,551,0.5185,0.0959,S3,15,51,control
500,414,500,0.5436,0.15812,random,500,762,0.0,0.0053,S3,16,262,control
500,157,500,0.9989,0.00067,nsga2,500,566,0.7778,0.0974,S3,16,66,control
500,411,500,0.5516,0.17076,random,500,727,0.0,0.0055,S3,17,227,control
500,99,500,0.8801,0.04558,nsga2,500,554,0.1852,0.1257,S3,17,54,control
500,394,500,0.5155,0.21629,random,500,717,0.0,0.0062,S3,18,217,control
500,214,500,0.9349,0.04589,nsga2,500,553,0.1852,0.0774,S3,18,53,control
500,407,500,0.5095,0.19287,random,500,735,0.037,0.0059,S3,19,235,control
500,134,500,0.8446,0.0794,nsga2,500,540,0.0,0.0946,S3,19,40,control
1000,804,1000,0.7101,0.11138,random,1000,1436,0.037,0.0126,S3,0,436,control
1000,267,1000,0.9897,0.02709,nsga2,1000,1077,0.4444,0.2285,S3,0,77,control
1000,808,1000,0.6988,0.13042,random,1000,1471,0.0,0.0119,S3,1,471,control
1000,261,1000,0.9537,0.02966,nsga2,1000,1069,0.3704,0.2232,S3,1,69,control
1000,806,1000,0.6617,0.21447,random,1000,1534,0.0,0.0124,S3,2,534,control
1000,282,1000,0.9985,0.00284,nsga2,1000,1085,0.7778,0.2093,S3,2,85,control
1000,798,1000,0.6853,0.10011,random,1000,1513,0.0,0.0121,S3,3,513,control
1000,306,1000,0.9995,0.00224,nsga2,1000,1121,0.8148,0.208,S3,3,121,control
1000,813,1000,0.7579,0.0925,random,1000,1447,0.037,0.0134,S3,4,447,control
1000,264,1000,0.9906,0.02435,nsga2,1000,1078,0.5926,0.1953,S3,4,78,control
1000,820,1000,0.5214,0.14271,random,1000,1443,0.0,0.0129,S3,5,443,control
1000,289,1000,0.9991,0.00015,nsga2,1000,1052,0.9259,0.245,S3,5,52,control
1000,815,1000,0.8546,0.06956,random,1000,1521,0.037,0.0125,S3,6,521,control
1000,310,1000,0.9991,0.00015,nsga2,1000,1086,0.9259,0.2067,S3,6,86,control
1000,803,1000,0.7539,0.14137,random,1000,1501,0.037,0.0118,S3,7,501,control
1000,254,1000,0.9891,0.02717,nsga2,1000,1050,0.4074,0.2634,S3,7,50,control
1000,789,1000,0.6973,0.19016,random,1000,1454,0.0,0.0129,S3,8,454,control
1000,277,1000,0.998,0.00167,nsga2,1000,1077,0.7778,0.2081,S3,8,77,control
1000,789,1000,0.8036,0.09204,random,1000,1488,0.037,0.0114,S3,9,488,control
1000,238,1000,0.9904,0.02442,nsga2,1000,1102,0.5556,0.1973,S3,9,102,control
1000,794,1000,0.6608,0.08808,random,1000,1505,0.037,0.0119,S3,10,505,control
1000,272,1000,0.9991,0.00015,nsga2,1000,1044,0.9259,0.1942,S3,10,44,control
1000,801,1000,0.7471,0.12412,random,1000,1484,0.0,0.0131,S3,11,484,control
1000,303,1000,0.9921,0.00103,nsga2,1000,1049,0.7037,0.2132,S3,11,49,control
1000,801,1000,0.7335,0.13042,random,1000,1500,0.0,0.0121,S3,12,500,control
1000,312,1000,0.9991,0.00015,nsga2,1000,1082,0.9259,0.188,S3,12,82,control
1000,795,1000,0.6745,0.12552,random,1000,1516,0.0,0.0115,S3,13,516,control
1000,289,1000,0.9906,0.02435,nsga2,1000,1097,0.5926,0.1864,S3,13,97,control
1000,797,1000,0.5391,0.1122,random,1000,1498,0.0741,0.0116,S3,14,498,control
1000,278,1000,0.1892,0.32071,nsga2,1000,1042,0.3333,0.2211,S3,14,42,control
1000,814,1000,0.7061,0.09557,random,1000,1469,0.0741,0.0116,S3,15,469,control
1000,268,1000,0.1986,0.29638,nsga2,1000,1051,0.7037,0.2106,S3,15,51,control
1000,803,1000,0.5703,0.13248,random,1000,1477,0.0,0.0112,S3,16,477,control
1000,303,1000,0.9991,0.00015,nsga2,1000,1077,0.9259,0.1925,S3,16,77,control
1000,825,1000,0.6345,0.10168,random,1000,1468,0.037,0.0115,S3,17,468,control
1000,176,1000,0.8801,0.04558,nsga2,1000,1063,0.1852,0.2875,S3,17,63,control
1000,790,1000,0.5946,0.16078,random,1000,1478,0.0,0.0133,S3,18,478,control
1000,334,1000,0.9891,0.02717,nsga2,1000,1059,0.4074,0.2072,S3,18,59,control
1000,819,1000,0.6226,0.15377,random,1000,1490,0.037,0.0121,S3,19,490,control
1000,255,1000,0.9899,0.02704,nsga2,1000,1059,0.4444,0.2317,S3,19,59,control
