L_analytical,design_idx,edge_cls,errors,key,kind,link_cls,mean,n,n_e,n_g,ok,p50,p95,p99,policy,rep_factor,repeat,wall,workload
0.022291446692357095,16,edge-low,0,control|cloud-first|16|0,pareto,fast,0.024256878111999985,750,2,1,True,0.024173042,0.025146625,0.026155625,cloud-first,1,0,1.9,control
0.022291446692357095,16,edge-low,0,control|cloud-first|16|1,pareto,fast,0.024093489018666675,750,2,1,True,0.024029875,0.024847875,0.025249375,cloud-first,1,1,2.4,control
0.022291446692357095,16,edge-low,0,control|cloud-first|16|2,pareto,fast,0.02446700345733331,750,2,1,True,0.024086417,0.025222666,0.038260458,cloud-first,1,2,2.4,control
0.022141457599248297,17,edge-low,0,control|cloud-first|17|0,pareto,fast,0.02395347630666667,750,2,1,True,0.023858083,0.024894458,0.025941292,cloud-first,1,0,2.4,control
0.022141457599248297,17,edge-low,0,control|cloud-first|17|1,pareto,fast,0.024063210357333338,750,2,1,True,0.02401325,0.02475575,0.02527625,cloud-first,1,1,1.9,control
0.022141457599248297,17,edge-low,0,control|cloud-first|17|2,pareto,fast,0.0242263468826667,750,2,1,True,0.024152167,0.025204125,0.025794584,cloud-first,1,2,2.4,control
0.024972616626997617,18,edge-med,0,control|balanced|18|0,dominated,fast,0.024647191081333338,750,2,1,True,0.024350958,0.026332917,0.028948667,balanced,2,0,1.9,control
0.024972616626997617,18,edge-med,0,control|balanced|18|1,dominated,fast,0.02437640535600002,750,2,1,True,0.024179542,0.025378625,0.027995625,balanced,2,1,2.4,control
0.024972616626997617,18,edge-med,0,control|balanced|18|2,dominated,fast,0.024341011025333315,750,2,1,True,0.024192375,0.025287958,0.026898042,balanced,2,2,2.4,control
0.02634123874402944,19,edge-high,0,control|balanced|19|0,dominated,standard,0.027056340367999965,750,2,1,True,0.026895666,0.028124917,0.029189959,balanced,1,0,2.4,control
0.02634123874402944,19,edge-high,0,control|balanced|19|1,dominated,standard,0.026996104348000007,750,2,1,True,0.026872834,0.027897917,0.028628083,balanced,1,1,1.9,control
0.02634123874402944,19,edge-high,0,control|balanced|19|2,dominated,standard,0.026949074561333376,750,2,1,True,0.02683825,0.027854709,0.028386708,balanced,1,2,1.9,control
0.022291446692357095,20,edge-med,0,control|cloud-first|20|0,dominated,fast,0.024092331454666705,750,2,1,True,0.024015792,0.02485625,0.025881417,cloud-first,1,0,2.4,control
0.022291446692357095,20,edge-med,0,control|cloud-first|20|1,dominated,fast,0.024112899902666678,750,2,1,True,0.024054416,0.024856875,0.025281916,cloud-first,1,1,2.4,control
0.022291446692357095,20,edge-med,0,control|cloud-first|20|2,dominated,fast,0.024195978174666663,750,2,1,True,0.024137208,0.025068,0.02562975,cloud-first,1,2,2.4,control
0.01061141366223909,21,edge-high,0,control|edge-first|21|0,dominated,standard,0.009399857388000003,750,2,1,True,0.009131792,0.010357541,0.015076708,edge-first,2,0,2.4,control
0.01061141366223909,21,edge-high,0,control|edge-first|21|1,dominated,standard,0.010012249072000002,750,2,1,True,0.009162833,0.012788,0.028487875,edge-first,2,1,2.4,control
0.01061141366223909,21,edge-high,0,control|edge-first|21|2,dominated,standard,0.00956511965866667,750,2,1,True,0.009258417,0.01059675,0.013462583,edge-first,2,2,1.9,control
0.024972616626997617,22,edge-med,0,control|balanced|22|0,boundary,fast,0.024503902962666666,750,2,1,True,0.024246208,0.025810125,0.02850275,balanced,2,0,1.9,control
0.024972616626997617,22,edge-med,0,control|balanced|22|1,boundary,fast,0.024611217135999997,750,2,1,True,0.024316125,0.026126833,0.029367667,balanced,2,1,2.4,control
0.024972616626997617,22,edge-med,0,control|balanced|22|2,boundary,fast,0.02452966886,750,2,1,True,0.024240959,0.026037375,0.030291084,balanced,2,2,2.4,control
0.02876461662699762,23,edge-med,0,control|balanced|23|0,boundary,standard,0.027142142668,750,2,1,True,0.027018291,0.027909416,0.028966709,balanced,2,0,1.9,control
0.02876461662699762,23,edge-med,0,control|balanced|23|1,boundary,standard,0.027133929378666675,750,2,1,True,0.026997833,0.027938,0.02907625,balanced,2,1,1.9,control
0.02876461662699762,23,edge-med,0,control|balanced|23|2,boundary,standard,0.027056064383999975,750,2,1,True,0.026901,0.027776833,0.0302585,balanced,2,2,2.4,control
0.08242786885245901,24,edge-low,0,sensing|cloud-first|24|0,pareto,fast,0.14334802661866658,750,2,1,True,0.130380459,0.245357959,0.322815875,cloud-first,1,0,15.4,sensing
0.08242786885245901,24,edge-low,0,sensing|cloud-first|24|1,pareto,fast,0.18741537139999984,750,2,1,True,0.165054333,0.362071458,0.481863708,cloud-first,1,1,14.9,sensing
0.08242786885245901,24,edge-low,0,sensing|cloud-first|24|2,pareto,fast,0.1575033489813334,750,2,1,True,0.140732291,0.29918725,0.350213084,cloud-first,1,2,14.9,sensing
0.07669028436018957,25,edge-low,0,sensing|cloud-first|25|0,pareto,fast,0.18275931874799986,750,2,1,True,0.166549583,0.327754542,0.430697001,cloud-first,1,0,14.9,sensing
0.07669028436018957,25,edge-low,0,sensing|cloud-first|25|1,pareto,fast,0.18810809185866662,750,2,1,True,0.17359925,0.34454875,0.464120875,cloud-first,1,1,14.9,sensing
0.07669028436018957,25,edge-low,0,sensing|cloud-first|25|2,pareto,fast,0.14003591981866662,750,2,1,True,0.125485792,0.239749708,0.30289675,cloud-first,1,2,15.4,sensing
0.06696161498248998,26,edge-high,0,sensing|balanced|26|0,pareto,fast,0.08423498343600001,750,2,1,True,0.074335959,0.135217541,0.204557042,balanced,1,0,14.8,sensing
0.06696161498248998,26,edge-high,0,sensing|balanced|26|1,pareto,fast,0.08242533515866667,750,2,1,True,0.073040042,0.133260125,0.198511667,balanced,1,1,15.3,sensing
0.06696161498248998,26,edge-high,0,sensing|balanced|26|2,pareto,fast,0.08551864007333332,750,2,1,True,0.075713875,0.139853625,0.206756708,balanced,1,2,14.8,sensing
0.06122403049022053,27,edge-high,0,sensing|balanced|27|0,pareto,fast,0.07951682377199994,750,2,1,True,0.070539917,0.127628,0.186637417,balanced,1,0,14.8,sensing
0.06122403049022053,27,edge-high,0,sensing|balanced|27|1,pareto,fast,0.08185374106399995,750,2,1,True,0.072619708,0.131735959,0.19684025,balanced,1,1,14.8,sensing
0.06122403049022053,27,edge-high,0,sensing|balanced|27|2,pareto,fast,0.07900216332266671,750,2,1,True,0.070080584,0.129386083,0.172007167,balanced,1,2,14.9,sensing
0.07669028436018957,28,edge-med,0,sensing|cloud-first|28|0,dominated,fast,0.19655169424000016,750,2,1,True,0.177876501,0.388275708,0.494139876,cloud-first,1,0,15.4,sensing
0.07669028436018957,28,edge-med,0,sensing|cloud-first|28|1,dominated,fast,0.17895086499333335,750,2,1,True,0.162178875,0.320983333,0.461594959,cloud-first,1,1,14.9,sensing
0.07669028436018957,28,edge-med,0,sensing|cloud-first|28|2,dominated,fast,0.17545285750399983,750,2,1,True,0.160206792,0.326896416,0.439936667,cloud-first,1,2,14.9,sensing
0.08696087259548368,29,edge-med,0,sensing|balanced|29|0,dominated,fast,0.09504611969733319,750,2,1,True,0.084550125,0.155627,0.21423,balanced,1,0,14.9,sensing
