scale,workload,C_E,N_hca,N_exh,overhead_hca,overhead_exh,T_hca,T_exh,speedup
S3,control,0.033290176025002435,43,34560,0.052508210981613956,0.11168880061450182,1.4839857800567187,1150.6201722246988,775.3579499803034
S3,control,0.1,43,34560,0.052508210981613956,0.11168880061450182,4.352508210981614,3456.1116888006145,794.0505844608535
S3,control,1.0,43,34560,0.052508210981613956,0.11168880061450182,43.052508210981614,34560.111688800615,802.7432808197037
S3,sensing,1e-06,43,34560,0.0602152969877352,0.11252026513102464,0.0602582969877352,0.14708026513102465,2.440830101138785
S3,sensing,1e-05,43,34560,0.0602152969877352,0.11252026513102464,0.0606452969877352,0.45812026513102466,7.554093852053756
S3,sensing,5e-05,43,34560,0.0602152969877352,0.11252026513102464,0.0623652969877352,1.8405202651310246,29.511929775512534
S3,sensing,0.0001,43,34560,0.0602152969877352,0.11252026513102464,0.0645152969877352,3.5685202651310246,55.31277746128061
S3,sensing,0.0005,43,34560,0.0602152969877352,0.11252026513102464,0.0817152969877352,17.392520265131026,212.8428936352211
S3,sensing,0.001,43,34560,0.0602152969877352,0.11252026513102464,0.10321529698773521,34.67252026513103,335.92424066028764
S3,sensing,0.005,43,34560,0.0602152969877352,0.11252026513102464,0.27521529698773517,172.91252026513104,628.2809210014108
S3,sensing,0.033290176025002435,43,34560,0.0602152969877352,0.11252026513102464,1.49169286606284,1150.6210036892153,771.3524880803067
S3,sensing,0.1,43,34560,0.0602152969877352,0.11252026513102464,4.360215296987735,3456.112520265131,792.647216905274
S3,sensing,1.0,43,34560,0.0602152969877352,0.11252026513102464,43.060215296987735,34560.11252026513,802.5996219922006
